symbol,timeframe,side,entry_time,entry_price,size,stop_loss,take_profit,exit_time,exit_price,pnl,r_multiple,status,signal_time,strategy_version,triangle_type,risk_amount,score_total,score_trend_quality,score_zone_quality,score_risk_quality
BTC,15m,short,1781015400000,61544.2125,0.003930042375005751,62882.0,58958.0,1781158500000,62913.441,-5.625687952139944,-1.0700184646290978,closed,1781014500000,triangle-trend-zones-15m-scoring-v1,descending,5.140495426507523,78.97817836812143,17.0,6.0,20.0
BTC,15m,long,1781166600000,62954.4615,0.012348712528373969,62508.0,63750.0,1781181000000,62476.74600000001,-6.673628341600487,-1.2104763876616327,closed,1781165700000,triangle-trend-zones-15m-scoring-v1,ascending,5.1123669867468235,80.66587282321775,20.0,6.0,20.0
BTC,15m,short,1781198100000,62405.781500000005,0.003988742548459807,63201.0,60909.0,1781199000000,63232.60049999999,-3.548537705176467,-1.118734273661885,closed,1781197200000,triangle-trend-zones-15m-scoring-v1,descending,3.0473993070232925,72.87976993766061,10.0,13.0,20.0
BTC,15m,long,1781199900000,63326.6475,0.0038734103238619423,62510.0,64862.0,1781471700000,64829.569,5.573230848024998,1.7618904016114731,closed,1781199000000,triangle-trend-zones-15m-scoring-v1,descending,3.036753693907763,73.25942733234461,17.0,6.0,20.0
BTC,15m,long,1781472600000,64788.378,0.004588929044862996,63648.0,66975.0,1781538300000,66941.5125,9.578331884250531,1.8303313065930822,closed,1781471700000,triangle-trend-zones-15m-scoring-v1,descending,5.089122310753063,82.86115787524211,15.0,13.0,20.0
BTC,15m,short,1781577000000,65717.125,0.004460504170918363,66441.0,64368.0,1781591400000,66474.2205,-3.671847659514535,-1.1372007221550624,closed,1781576100000,triangle-trend-zones-15m-scoring-v1,symmetrical,3.0822083821045894,70.86538919559072,13.0,6.0,20.0
BTC,15m,long,1781594100000,66332.1495,0.0044189825023396336,65603.0,67688.0,1781619300000,65570.1985,-3.658485220554947,-1.1354354271654874,closed,1781593200000,triangle-trend-zones-15m-scoring-v1,descending,3.0711928391260455,71.1307881773399,17.0,6.0,20.0
BTC,15m,short,1781620200000,65503.232,0.0035716822869565606,66964.0,62680.0,1781796600000,62711.34,9.742780345624693,1.8673634102061478,closed,1781619300000,triangle-trend-zones-15m-scoring-v1,ascending,5.100362305773968,76.68180207502827,10.0,10.0,20.0
BTC,15m,short,1781797500000,62712.628000000004,0.0030722411739272626,64420.0,59392.0,1782011700000,64452.21,-5.539755971412415,-1.0561051832875317,closed,1781796600000,triangle-trend-zones-15m-scoring-v1,symmetrical,5.149076207502092,83.98273104172027,20.0,6.0,20.0
BTC,15m,long,1782013500000,64450.208999999995,0.022170465054740386,64187.0,64880.0,1782021600000,64154.906500000005,-7.972611366354067,-1.3662338968272252,closed,1782012600000,triangle-trend-zones-15m-scoring-v1,descending,5.1213774276450295,77.65580912331102,15.0,10.0,20.0
