time,equity
1769450400000,1020.1260407162333
1769454000000,1020.1260407162333
1769457600000,1020.1260407162333
1769461200000,1020.1260407162333
1769464800000,1020.1260407162333
1769468400000,1020.1260407162333
1769472000000,1020.1260407162333
1769475600000,1020.1260407162333
1769479200000,1020.1260407162333
1769482800000,1020.1260407162333
1769486400000,1020.1260407162333
1769490000000,1020.1260407162333
1769493600000,1020.1260407162333
1769497200000,1020.1260407162333
1769500800000,1020.1260407162333
1769504400000,1020.1260407162333
1769508000000,1020.1260407162333
1769511600000,1020.1260407162333
1769515200000,1020.1260407162333
1769518800000,1020.1260407162333
1769522400000,1020.1260407162333
1769526000000,1020.1260407162333
1769529600000,1020.1260407162333
1769533200000,1020.1260407162333
1769536800000,1020.1260407162333
1769540400000,1020.1260407162333
1769544000000,1020.1260407162333
1769547600000,1020.1260407162333
1769551200000,1020.1260407162333
1769554800000,1020.1260407162333
1769558400000,1020.1260407162333
1769562000000,1020.1260407162333
1769565600000,1020.1260407162333
1769569200000,1020.1260407162333
1769572800000,1020.1260407162333
1769576400000,1020.1260407162333
1769580000000,1020.1260407162333
1769583600000,1020.1260407162333
1769587200000,1020.1260407162333
1769590800000,1020.1260407162333
1769594400000,1020.1260407162333
1769598000000,1020.1260407162333
1769601600000,1020.1260407162333
1769605200000,1020.1260407162333
1769608800000,1020.1260407162333
1769612400000,1020.1260407162333
1769616000000,1020.1260407162333
1769619600000,1020.1260407162333
1769623200000,1020.1260407162333
1769626800000,1020.1260407162333
1769630400000,1020.1260407162333
1769634000000,1020.1260407162333
1769637600000,1020.1260407162333
1769641200000,1020.1260407162333
1769644800000,1020.1260407162333
1769648400000,1020.1260407162333
1769652000000,1020.1260407162333
1769655600000,1020.1260407162333
1769659200000,1020.1260407162333
1769662800000,1020.1260407162333
1769666400000,1020.1260407162333
1769670000000,1020.1260407162333
1769673600000,1020.1260407162333
1769677200000,1020.1260407162333
1769680800000,1020.1260407162333
1769684400000,1020.1260407162333
1769688000000,1020.1260407162333
1769691600000,1020.1260407162333
1769695200000,1020.1260407162333
1769698800000,1020.1260407162333
1769702400000,1020.1260407162333
1769706000000,1020.1260407162333
1769709600000,1020.1260407162333
1769713200000,1020.1260407162333
1769716800000,1020.1260407162333
1769720400000,1020.1260407162333
1769724000000,1020.1260407162333
1769727600000,1020.1260407162333
1769731200000,1020.1260407162333
1769734800000,1020.1260407162333
1769738400000,1020.1260407162333
1769742000000,1020.1260407162333
1769745600000,1020.1260407162333
1769749200000,1020.1260407162333
1769752800000,1020.1260407162333
1769756400000,1020.1260407162333
1769760000000,1020.1260407162333
1769763600000,1020.1260407162333
1769767200000,1020.1260407162333
1769770800000,1020.1260407162333
1769774400000,1020.1260407162333
1769778000000,1020.1260407162333
1769781600000,1020.1260407162333
1769785200000,1020.1260407162333
1769788800000,1020.1260407162333
1769792400000,1020.1260407162333
1769796000000,1020.1260407162333
1769799600000,1020.1260407162333
1769803200000,1020.1260407162333
1769806800000,1020.1260407162333
1769810400000,1020.1260407162333
1769814000000,1020.1260407162333
1769817600000,1020.1260407162333
1769821200000,1020.1260407162333
1769824800000,1020.1260407162333
1769828400000,1020.1260407162333
1769832000000,1020.1260407162333
1769835600000,1020.1260407162333
1769839200000,1020.1260407162333
1769842800000,1020.1260407162333
1769846400000,1020.1260407162333
1769850000000,1020.1260407162333
1769853600000,1020.1260407162333
1769857200000,1020.1260407162333
1769860800000,1020.1260407162333
1769864400000,1020.1260407162333
1769868000000,1020.1260407162333
1769871600000,1020.1260407162333
1769875200000,1020.1260407162333
1769878800000,1020.1260407162333
1769882400000,1020.1260407162333
1769886000000,1020.1260407162333
1769889600000,1020.1260407162333
1769893200000,1020.1260407162333
1769896800000,1020.1260407162333
1769900400000,1020.1260407162333
1769904000000,1020.1260407162333
1769907600000,1020.1260407162333
1769911200000,1020.1260407162333
1769914800000,1020.1260407162333
1769918400000,1020.1260407162333
1769922000000,1020.1260407162333
1769925600000,1020.1260407162333
1769929200000,1020.1260407162333
1769932800000,1020.1260407162333
1769936400000,1020.1260407162333
1769940000000,1020.1260407162333
1769943600000,1020.1260407162333
1769947200000,1020.1260407162333
1769950800000,1020.1260407162333
1769954400000,1020.1260407162333
1769958000000,1020.1260407162333
1769961600000,1020.1260407162333
1769965200000,1020.1260407162333
1769968800000,1020.1260407162333
1769972400000,1020.1260407162333
1769976000000,1020.1260407162333
