symbol,timeframe,decision,side,score,reasons,entry_price,stop_loss,take_profit,reward_risk,strategy_version,triangle_type,open_time,position_size,risk_amount,metadata
BTC,15m,accepted,long,76.86230158730159,valid triangle candidate;confirmed breakout;EMA trend aligned;support below entry;reward/risk target met,63409.0,62395.0,65437.0,2.0,triangle-trend-zones-15m-scoring-v1,descending,1780985700000,0.00485885411746646,4.926878075110991,"{""candidate_count"": 2, ""triangle_candidates_found"": 2, ""breakout_candidates_found"": 2, ""scored_candidates"": 2, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0, ""score_total"": 76.86230158730159, ""score_triangle_quality"": 18.719444444444445, ""score_breakout_quality"": 15.142857142857144, ""score_trend_quality"": 17.0, ""score_zone_quality"": 6.0, ""score_risk_quality"": 20.0, ""score_reasons"": [""valid triangle candidate"", ""confirmed breakout"", ""EMA trend aligned"", ""support below entry"", ""reward/risk target met""], ""score_penalties"": [""opposite zone within 0.5R""], ""candidate_rank"": 1, ""triangle_cleanliness_score"": 20.0, ""triangle_wick_violation_count"": 0, ""triangle_close_violation_count"": 0, ""triangle_max_wick_violation"": 0.0, ""triangle_max_close_violation"": 0.0, ""triangle_line_tolerance_used"": 0.002, ""zone_block"": {""zone_kind"": ""resistance"", ""zone_low"": 63464.0, ""zone_high"": 63707.0, ""distance_to_zone"": 55.0, ""distance_to_zone_r"": 0.054240631163708086, ""zone_touches"": 5, ""zone_strength"": 5.0}}"
BTC,15m,no_setup,,0.0,no confirmed breakout candidates,,,,,triangle-trend-zones-15m-scoring-v1,,1780986600000,,,"{""candidate_count"": 3, ""triangle_candidates_found"": 3, ""breakout_candidates_found"": 0, ""scored_candidates"": 0, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0}"
BTC,15m,no_setup,,0.0,no confirmed breakout candidates,,,,,triangle-trend-zones-15m-scoring-v1,,1780987500000,,,"{""candidate_count"": 3, ""triangle_candidates_found"": 3, ""breakout_candidates_found"": 0, ""scored_candidates"": 0, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0}"
BTC,15m,no_setup,,0.0,no confirmed breakout candidates,,,,,triangle-trend-zones-15m-scoring-v1,,1780988400000,,,"{""candidate_count"": 3, ""triangle_candidates_found"": 3, ""breakout_candidates_found"": 0, ""scored_candidates"": 0, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0}"
BTC,15m,no_setup,,0.0,no confirmed breakout candidates,,,,,triangle-trend-zones-15m-scoring-v1,,1780989300000,,,"{""candidate_count"": 3, ""triangle_candidates_found"": 3, ""breakout_candidates_found"": 0, ""scored_candidates"": 0, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0}"
BTC,15m,no_setup,,0.0,no confirmed breakout candidates,,,,,triangle-trend-zones-15m-scoring-v1,,1780990200000,,,"{""candidate_count"": 3, ""triangle_candidates_found"": 3, ""breakout_candidates_found"": 0, ""scored_candidates"": 0, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0}"
BTC,15m,no_setup,,0.0,no confirmed breakout candidates,,,,,triangle-trend-zones-15m-scoring-v1,,1780991100000,,,"{""candidate_count"": 3, ""triangle_candidates_found"": 3, ""breakout_candidates_found"": 0, ""scored_candidates"": 0, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0}"
BTC,15m,no_setup,,0.0,no confirmed breakout candidates,,,,,triangle-trend-zones-15m-scoring-v1,,1780992000000,,,"{""candidate_count"": 3, ""triangle_candidates_found"": 3, ""breakout_candidates_found"": 0, ""scored_candidates"": 0, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0}"
BTC,15m,no_setup,,0.0,no confirmed breakout candidates,,,,,triangle-trend-zones-15m-scoring-v1,,1780992900000,,,"{""candidate_count"": 3, ""triangle_candidates_found"": 3, ""breakout_candidates_found"": 0, ""scored_candidates"": 0, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0}"
BTC,15m,no_setup,,0.0,no confirmed breakout candidates,,,,,triangle-trend-zones-15m-scoring-v1,,1780993800000,,,"{""candidate_count"": 3, ""triangle_candidates_found"": 3, ""breakout_candidates_found"": 0, ""scored_candidates"": 0, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0}"
BTC,15m,no_setup,,0.0,no confirmed breakout candidates,,,,,triangle-trend-zones-15m-scoring-v1,,1780994700000,,,"{""candidate_count"": 3, ""triangle_candidates_found"": 3, ""breakout_candidates_found"": 0, ""scored_candidates"": 0, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0}"
BTC,15m,no_setup,,0.0,no confirmed breakout candidates,,,,,triangle-trend-zones-15m-scoring-v1,,1780995600000,,,"{""candidate_count"": 3, ""triangle_candidates_found"": 3, ""breakout_candidates_found"": 0, ""scored_candidates"": 0, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0}"
BTC,15m,no_setup,,0.0,no confirmed breakout candidates,,,,,triangle-trend-zones-15m-scoring-v1,,1780996500000,,,"{""candidate_count"": 3, ""triangle_candidates_found"": 3, ""breakout_candidates_found"": 0, ""scored_candidates"": 0, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0}"
