symbol,timeframe,side,entry_time,entry_price,size,stop_loss,take_profit,exit_time,exit_price,pnl,r_multiple,status,signal_time,strategy_version,triangle_type,risk_amount,score_total,score_trend_quality,score_zone_quality,score_risk_quality,triangle_cleanliness_score,triangle_wick_violation_count,triangle_close_violation_count,triangle_max_wick_violation,triangle_max_close_violation,triangle_line_tolerance_used
BTC,15m,short,1779856200000,75433.2645,0.009550141802466987,75933.0,74544.0,1779867900000,75970.9665,-5.858096285241745,-1.227457556047141,closed,1779855300000,triangle-trend-zones-15m-scoring-v1,descending,4.772544888726696,80.16443204637666,17.0,6.0,20.0,17.81929236695606,2,0,0.0003614152660878785,0.0,0.002
BTC,15m,short,1779887700000,75348.307,0.007300762679143058,75998.0,74165.0,1779930900000,74202.08249999999,7.822397100363039,1.6491624586535674,closed,1779886800000,triangle-trend-zones-15m-scoring-v1,ascending,4.743254407300486,80.86654936461387,17.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1779939000000,73669.147,0.005386439413734353,74557.0,72001.0,1780315200000,72037.0005,8.399039568729894,1.7562517964685567,closed,1779938100000,triangle-trend-zones-15m-scoring-v1,descending,4.7823663928023015,97.0710978215202,20.0,20.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1780316100000,71996.9835,0.004413804906555354,73090.0,69919.0,1780383600000,69953.9595,8.704237471058587,1.8042257628315845,closed,1780315200000,triangle-trend-zones-15m-scoring-v1,descending,4.8243615906459505,96.82275454972219,20.0,20.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1780457400000,66088.939,0.004566232868476791,67155.0,64056.0,1780462800000,67188.5775,-5.325493550378149,-1.0940061199593636,closed,1780456500000,triangle-trend-zones-15m-scoring-v1,symmetrical,4.867882778001244,94.8145560628572,17.0,20.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1780499700000,66478.744,0.006444215167997849,67230.0,65076.0,1780519500000,65108.53799999999,8.405913909191739,1.7363087402962818,closed,1780498800000,triangle-trend-zones-15m-scoring-v1,symmetrical,4.841255310249353,82.0165227356893,20.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1780558200000,63633.1675,0.005849418751420591,64468.0,62059.0,1780639200000,62090.0295,8.658756540219533,1.77314179970235,closed,1780557300000,triangle-trend-zones-15m-scoring-v1,symmetrical,4.883284879795312,90.21481318220097,17.0,20.0,20.0,18.83630721489526,1,0,0.0003273855702094795,0.0,0.002
BTC,15m,short,1780657200000,62484.742000000006,0.006371196499094023,63258.0,61056.0,1780667100000,61086.528,8.514647720377996,1.728308488240687,closed,1780656300000,triangle-trend-zones-15m-scoring-v1,ascending,4.92657866249641,76.24480394573085,15.0,6.0,20.0,18.779792089249483,1,0,0.0004404158215010345,0.0,0.002
BTC,15m,short,1780668000000,60669.65,0.0019198145154628633,63258.0,55584.0,1780869600000,63289.62899999999,-5.148863125983118,-1.0361653715687578,closed,1780667100000,triangle-trend-zones-15m-scoring-v1,symmetrical,4.969151901098299,94.36385513414609,17.0,20.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1780893900000,62636.666000000005,0.0035850630474283025,63464.0,61076.0,1780910100000,63495.731999999996,-3.3059020714786715,-1.1145827428825563,closed,1780893000000,triangle-trend-zones-15m-scoring-v1,symmetrical,2.9660445512810303,74.22806938790075,10.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,long,1780912800000,63510.739499999996,0.004338035328621579,62375.0,65690.0,1781010900000,62343.8125,-5.3351512983442975,-1.082866516485515,closed,1780911900000,triangle-trend-zones-15m-scoring-v1,symmetrical,4.926878075110991,79.41832302104437,15.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1781011800000,62288.840000000004,0.008261181331545115,62882.0,61202.0,1781016300000,61232.600999999995,8.215565397232577,1.6765767743947921,closed,1781010900000,triangle-trend-zones-15m-scoring-v1,descending,4.900202318619269,78.29296072870865,10.0,13.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1781017200000,61498.2355,0.0021425380455729745,62882.0,58835.0,1781158500000,62913.441,-3.1654100011615,-1.0676754160480335,closed,1781016300000,triangle-trend-zones-15m-scoring-v1,descending,2.964768087363259,71.57783417935701,17.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1781181000000,62617.675500000005,0.007237557034563955,63026.0,61892.0,1781185500000,63057.513,-3.638139664489145,-1.2310676784028391,closed,1781180100000,triangle-trend-zones-15m-scoring-v1,ascending,2.955271857359775,73.35105903560162,8.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,long,1781200800000,63662.8155,0.004256763026934658,62510.0,65873.0,1781494200000,65840.0635,8.992397253263062,1.8324671731946804,closed,1781199900000,triangle-trend-zones-15m-scoring-v1,descending,4.9072623972771785,79.15614170526678,17.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,long,1781523000000,66284.1255,0.006212603139083528,65487.0,67779.0,1781619300000,65454.2565,-5.564865897203548,-1.12371037057527,closed,1781522100000,triangle-trend-zones-15m-scoring-v1,descending,4.952224383543494,85.14732142857143,15.0,13.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1781620200000,65503.232,0.0033711034565772863,66964.0,62680.0,1781796600000,62711.34,9.195644478164109,1.8673634102061478,closed,1781619300000,triangle-trend-zones-15m-scoring-v1,ascending,4.924400054057477,77.6046529199952,10.0,10.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1781797500000,62712.628000000004,0.002911127906776209,64420.0,59392.0,1782011700000,64452.21,-5.249242260656794,-1.0561051832875314,closed,1781796600000,triangle-trend-zones-15m-scoring-v1,symmetrical,4.970378276448297,84.39657386796395,20.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1782018900000,64178.8945,0.02714982285073802,64361.0,63908.0,1782030600000,63939.954,4.747990226559112,0.9603283577377197,closed,1782018000000,triangle-trend-zones-15m-scoring-v1,ascending,4.944132065145014,91.30049127064842,13.0,20.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1782076500000,63550.209,0.007048716592972706,64255.0,62239.0,1782090900000,64287.127499999995,-5.644874236112996,-1.1362760992265726,closed,1782075600000,triangle-trend-zones-15m-scoring-v1,descending,4.967872016277808,75.11169164788993,13.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,long,1782128700000,64631.299499999994,0.00793773359145764,64009.0,65779.0,1782166500000,63976.995500000005,-5.704120031505811,-1.1547625339567145,closed,1782127800000,triangle-trend-zones-15m-scoring-v1,symmetrical,4.939647645097244,93.37119273420643,20.0,16.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1782167400000,63982.9925,0.007329958313809498,64653.0,62739.0,1782195300000,62770.36949999999,8.423927610569063,1.7152738126065865,closed,1782166500000,triangle-trend-zones-15m-scoring-v1,descending,4.911127044939715,76.42607398946633,13.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1782196200000,62702.633,0.0032303073452034418,64236.0,59730.0,1782319500000,59759.865,9.308249332228971,1.8792218373031417,closed,1782195300000,triangle-trend-zones-15m-scoring-v1,descending,4.95324668299256,80.59220488531777,17.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1782320400000,59792.089,0.0014688362679440518,63196.0,53074.0,1783187100000,63227.598,-5.136548107016561,-1.0273531956329052,closed,1782319500000,triangle-trend-zones-15m-scoring-v1,ascending,4.9997879296537056,91.78395624567422,17.0,20.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1783206900000,62945.5115,0.005800835419005822,63460.0,62008.0,1783289700000,63491.729999999996,-3.5352444357035013,-1.1845495492124627,closed,1783206000000,triangle-trend-zones-15m-scoring-v1,ascending,2.9844631134711737,73.72810358994408,10.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,long,1783290600000,63747.85799999999,0.004288095048820994,62592.0,65961.0,1783338300000,62560.704000000005,-5.361440749255935,-1.0817144329147657,closed,1783289700000,triangle-trend-zones-15m-scoring-v1,ascending,4.956428966940106,80.0723099434407,17.0,6.0,20.0,18.861646234676027,1,0,0.00027670753064794427,0.0,0.002
BTC,15m,long,1783372500000,64348.157999999996,0.006434210388971795,63582.0,65784.0,1783390500000,63550.209,-5.545634246511575,-1.1249614093959706,closed,1783371600000,triangle-trend-zones-15m-scoring-v1,ascending,4.9296217631938255,79.6859127171958,17.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1783391400000,63539.2145,0.0037145617786341974,64331.0,62051.0,1783499400000,62082.025499999996,5.179504635301892,1.7610557152158115,closed,1783390500000,triangle-trend-zones-15m-scoring-v1,symmetrical,2.9411361551767605,74.14634212967405,10.0,6.0,20.0,17.013355448061397,2,0,0.001973289103877208,0.0,0.002
BTC,15m,short,1783502100000,61850.0595,0.004550380298029108,62933.0,59774.0,1783579500000,62964.466499999995,-5.354952436794809,-1.0866841373094787,closed,1783501200000,triangle-trend-zones-15m-scoring-v1,descending,4.927791115137778,83.96166412847847,20.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
